f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,0,0,0,0,0,0,1,1,432,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,179,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,182,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,204,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,409,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,91,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,781,0,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,30,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,548,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,1,322,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,1,712,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,389,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,1094,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,133,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,83,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,416,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,213,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,136,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,65,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,241,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,1,571,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,142,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,0,387,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,2222,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,113,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,295,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,97,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,30,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,1,0,377,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,1,375,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1,0,30,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,69,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,500,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,30,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,353,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,170,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,496,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,0,1,0
