f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,211,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,246,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,73,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,1,201,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,76,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,266,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,283,0,0,0,0,0,0,1,0,0,0
